"R0","N","yr","p_free_vx"
1.5,100,14.7972602739726,0.005
1.5,100,14.9616438356164,0.005
1.5,100,15.1260273972603,0.005
1.5,100,15.2904109589041,0.005
1.5,100,15.4547945205479,0.005
1.5,100,15.6191780821918,0.0055
1.5,100,15.7835616438356,0.0055
1.5,100,15.9479452054795,0.0055
1.5,100,16.1123287671233,0.006
1.5,100,16.2767123287671,0.0065
1.5,100,16.441095890411,0.0065
1.5,100,16.6054794520548,0.0075
1.5,100,16.7698630136986,0.0085
1.5,100,16.9342465753425,0.0085
1.5,100,17.0986301369863,0.0095
1.5,100,17.2630136986301,0.01
1.5,100,17.427397260274,0.01
1.5,100,17.5917808219178,0.0105
1.5,100,17.7561643835616,0.012
1.5,100,17.9205479452055,0.0135
1.5,100,18.0849315068493,0.015
1.5,100,18.2493150684931,0.016
1.5,100,18.413698630137,0.0165
1.5,100,18.5780821917808,0.0165
1.5,100,18.7424657534247,0.017
1.5,100,18.9068493150685,0.0175
1.5,100,19.0712328767123,0.0185
1.5,100,19.2356164383562,0.019
1.5,100,19.4,0.0205
1.5,100,19.5643835616438,0.0215
1.5,100,19.7287671232877,0.023
1.5,100,19.8931506849315,0.0235
1.5,100,20.0575342465753,0.0235
1.5,100,20.2219178082192,0.025
1.5,100,20.386301369863,0.026
1.5,100,20.5506849315069,0.027
1.5,100,20.7150684931507,0.0285
1.5,100,20.8794520547945,0.0295
1.5,100,21.0438356164384,0.0295
1.5,100,21.2082191780822,0.031
1.5,100,21.372602739726,0.031
1.5,100,21.5369863013699,0.0315
1.5,100,21.7013698630137,0.033
1.5,100,21.8657534246575,0.035
1.5,100,22.0301369863014,0.036
1.5,100,22.1945205479452,0.0375
1.5,100,22.358904109589,0.04
1.5,100,22.5232876712329,0.0435
1.5,100,22.6876712328767,0.045
1.5,100,22.8520547945205,0.0475
1.5,100,23.0164383561644,0.049
1.5,100,23.1808219178082,0.051
1.5,100,23.3452054794521,0.053
1.5,100,23.5095890410959,0.0535
1.5,100,23.6739726027397,0.0555
1.5,100,23.8383561643836,0.0585
1.5,100,24.0027397260274,0.0595
1.5,100,24.1671232876712,0.06
1.5,100,24.3315068493151,0.0625
1.5,100,24.4958904109589,0.0665
1.5,100,24.6602739726027,0.0695
1.5,100,24.8246575342466,0.071
1.5,100,24.9890410958904,0.074
1.5,100,25.1534246575342,0.076
1.5,100,25.3178082191781,0.0765
1.5,100,25.4821917808219,0.0785
1.5,100,25.6465753424658,0.079
1.5,100,25.8109589041096,0.0825
1.5,100,25.9753424657534,0.084
1.5,100,26.1397260273973,0.0855
1.5,100,26.3041095890411,0.0875
1.5,100,26.4684931506849,0.089
1.5,100,26.6328767123288,0.0915
1.5,100,26.7972602739726,0.094
1.5,100,26.9616438356164,0.096
1.5,100,27.1260273972603,0.097
1.5,100,27.2904109589041,0.1
1.5,100,27.4547945205479,0.1035
1.5,100,27.6191780821918,0.106
1.5,100,27.7835616438356,0.109
1.5,100,27.9479452054795,0.1125
1.5,100,28.1123287671233,0.1145
1.5,100,28.2767123287671,0.118
1.5,100,28.441095890411,0.124
1.5,100,28.6054794520548,0.127
1.5,100,28.7698630136986,0.1305
1.5,100,28.9342465753425,0.1325
1.5,100,29.0986301369863,0.135
1.5,100,29.2630136986301,0.1375
1.5,100,29.427397260274,0.1395
1.5,100,29.5917808219178,0.1405
1.5,100,29.7561643835616,0.1415
1.5,100,29.9205479452055,0.143
1.5,100,30.0849315068493,0.1445
1.5,100,30.2493150684931,0.147
1.5,100,30.413698630137,0.1505
1.5,100,30.5780821917808,0.153
1.5,100,30.7424657534247,0.156
1.5,100,30.9068493150685,0.159
1.5,100,31.0712328767123,0.162
1.5,100,31.2356164383562,0.165
1.5,100,31.4,0.168
1.5,100,31.5643835616438,0.17
1.5,100,31.7287671232877,0.1735
1.5,100,31.8931506849315,0.176
1.5,100,32.0575342465753,0.18
1.5,100,32.2219178082192,0.1825
1.5,100,32.386301369863,0.185
1.5,100,32.5506849315069,0.19
1.5,100,32.7150684931507,0.1925
1.5,100,32.8794520547945,0.1945
1.5,100,33.0438356164384,0.198
1.5,100,33.2082191780822,0.2015
1.5,100,33.372602739726,0.206
1.5,100,33.5369863013699,0.208
1.5,100,33.7013698630137,0.2125
